GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl.memory,MemoryJob,64,71,3,5,13,24,5,7,3,5
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl.memory,MemoryAsset,64,184,12,12,13,37,12,16,3,13
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl.memory,LocalResolverImpl,22,55,1,5,5,17,4,7,3,5
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl.memory,MemoryBundle,21,161,0,10,4,35,2,15,2,10
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl.memory,MemoryPurchase,39,28,2,0,5,7,6,3,5,3
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl.memory,MemoryListing,37,33,2,0,6,9,7,4,6,4
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl.memory,AMemoryAsset,3,16,0,0,1,5,1,2,1,2
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl.memory,AMemoryOperation,0,136,1,17,0,30,1,14,0,6
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl.memory,MemoryAgent,74,193,7,13,12,37,12,17,6,13
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish,Resolver,2,13,1,1,0,4,1,1,0,1
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish,Operation,75,2,10,0,15,1,9,1,4,1
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish,Asset,28,44,0,2,4,9,2,4,2,3
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish,Bundle,25,2,0,0,4,1,2,1,2,1
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish,DataAsset,15,53,3,5,3,12,4,5,1,4
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish,Job,49,18,2,0,15,4,7,4,6,4
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl,AAgent,29,34,3,3,4,11,4,5,2,4
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl,AEVMAccount,13,0,0,0,4,0,2,0,2,0
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl,AListing,0,3,0,0,0,1,0,1,0,1
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl,AAccount,81,28,3,1,18,7,5,4,3,4
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl,AIdentity,25,0,0,0,8,0,4,0,4,0
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl,AAsset,50,24,2,0,9,8,4,5,3,5
Starfish - Developer Toolkit for data ecosystems,sg.dex.crypto,Hash,11,61,0,0,3,14,3,9,3,9
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl.file,FileAsset,25,74,2,4,3,17,2,10,1,8
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl.resource,URIAsset,71,97,2,6,11,24,6,8,4,6
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.impl.resource,ResourceAsset,50,71,4,2,6,18,3,9,0,9
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.exception,StarfishValidationException,0,9,0,0,0,4,0,2,0,2
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.exception,RemoteException,0,9,0,0,0,4,0,2,0,2
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.exception,GenericException,9,0,0,0,4,0,2,0,2,0
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.exception,JobFailedException,5,0,0,0,2,0,1,0,1,0
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.exception,ResolverException,7,0,0,0,4,0,2,0,2,0
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.exception,StorageException,5,0,0,0,2,0,1,0,1,0
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.exception,AuthorizationException,9,0,0,0,4,0,2,0,2,0
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.util,Params,390,0,42,0,74,0,27,0,6,0
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.util,JSONObjectCache,18,36,0,2,3,7,1,3,1,2
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.util,DID,41,261,10,14,3,60,10,21,0,19
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.util,HTTP,100,57,2,0,23,18,3,6,2,6
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.util,ProvUtil,10,642,1,7,3,116,3,21,2,18
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.util,RemoteAgentConfig,7,53,2,2,1,12,3,2,1,2
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.util,ProvUtil.AgentIdType,0,24,0,0,0,2,0,1,0,1
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.util,Hex,41,186,6,20,7,24,9,13,4,5
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.util,JSON,25,225,0,14,5,56,1,14,1,7
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.util,ProvUtil.ActivityType,0,34,0,0,0,2,0,1,0,1
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.util,Utils,199,233,40,24,36,57,33,17,5,13
Starfish - Developer Toolkit for data ecosystems,sg.dex.starfish.util,DDO,23,34,1,5,5,7,3,4,2,2
